34583;2001221;56490;RLS Basic
19892;2001932;32553;RLS Basic
13057;2001285;21644;RLS Basic
23182;2001913;37875;RLS Basic
12103;2001911;20138;RLS Basic
9528;2000925;15565;Full Res (Amelia NSW)
25802;2001222;41902;RLS Basic
31489;2001922;51015;RLS Basic
667;2001914;1098;RLS Basic
51546;2001795;87922;RLS Basic
20095;2001916;32739;RLS Basic
13039;2001915;21638;Full Res (Amelia NSW)
52409;2001048;89531;RLS Basic
52992;2001797;90428;RLS Basic
20102;2001916;32739;Full Res (Amelia NSW)
10794;2001909;17830;RLS Basic
22609;2000961;37068;RLS Basic
2503;2001286;4162;RLS Basic
658;2001914;1098;RLS Basic
8501;2001919;13968;RLS Basic
8504;2001919;13968;RLS Basic
25804;2001222;41902;RLS Basic
60343;2001352;105730;RLS Basic
34582;2001221;56490;RLS Basic
51729;2001223;88264;RLS Basic
52701;2001912;89874;Full Res (Amelia NSW)
54504;2000986;93803;RLS Basic
33967;2001263;55495;RLS Basic
52401;2001048;89531;RLS Basic
27242;2001927;43801;RLS Basic
56809;2001351;98525;RLS Basic
13060;2001285;21644;RLS Basic
9518;2000925;15565;RLS Basic
52681;2001912;89874;RLS Basic
10285;2001182;16890;RLS Basic
54518;2001245;93825;RLS Basic
33323;2001046;54254;RLS Basic
44773;2001047;75443;Full Res (Amelia NSW)
654;2001914;1098;RLS Basic
52993;2001797;90428;RLS Basic
2502;2001286;4162;RLS Basic
659;2001914;1098;RLS Basic
8142;2001920;13496;RLS Basic
62319;2000959;109705;RLS Basic
54512;2001245;93825;RLS Basic
52997;2001797;90428;RLS Basic
52990;2001797;90428;RLS Basic
51542;2001795;87922;RLS Basic
31481;2001922;51015;RLS Basic
13043;2001915;21638;Full Res (Amelia NSW)
27250;2001927;43801;Full Res (Amelia NSW)
9529;2000925;15565;RLS Basic
13035;2001915;21638;RLS Basic
29371;2001183;47389;RLS Basic
62310;2000959;109705;RLS Basic
42111;2001921;70908;RLS Basic
54519;2001245;93825;RLS Basic
31349;2001918;50782;Full Res (Amelia NSW)
13033;2001915;21638;Full Res (Amelia NSW)
9525;2000925;15565;Full Res (Amelia NSW)
27244;2001927;43801;RLS Basic
20256;2000866;33001;RLS Basic
12097;2001911;20138;RLS Basic
9531;2000925;15565;Full Res (Amelia NSW)
33970;2001263;55495;RLS Basic
13047;2001915;21638;Full Res (Amelia NSW)
16582;2001917;26914;Full Res (Amelia NSW)
12093;2001911;20138;RLS Basic
33321;2001046;54254;RLS Basic
20090;2001916;32739;RLS Basic
44775;2001047;75443;RLS Basic
44992;2001910;75822;RLS Basic
10805;2001909;17830;RLS Basic
13046;2001915;21638;Full Res (Amelia NSW)
56808;2001351;98525;RLS Basic
13038;2001915;21638;RLS Basic
52399;2001048;89531;RLS Basic
44776;2001047;75443;Full Res (Amelia NSW)
23175;2001913;37875;RLS Basic
29370;2001183;47389;RLS Basic
8500;2001919;13968;RLS Basic
48934;2000996;83208;RLS Basic
52698;2001912;89874;Full Res (Amelia NSW)
2352;2001262;3935;RLS Basic
30788;2000936;49730;RLS Basic
2351;2001262;3935;Full Res (Amelia NSW)
27245;2001927;43801;Full Res (Amelia NSW)
23174;2001913;37875;RLS Basic
51543;2001795;87922;RLS Basic
40577;2001353;67940;RLS Basic
14686;2001300;24209;RLS Basic
13036;2001915;21638;RLS Basic
34587;2001221;56490;RLS Basic
13050;2001285;21644;RLS Basic
12089;2001911;20138;RLS Basic
19888;2001932;32553;RLS Basic
54506;2000986;93803;RLS Basic
33314;2001046;54254;RLS Basic
44777;2001047;75443;Full Res (Amelia NSW)
2354;2001262;3935;Full Res (Amelia NSW)
13045;2001915;21638;Full Res (Amelia NSW)
10799;2001909;17830;RLS Basic
8140;2001920;13496;RLS Basic
54516;2001245;93825;RLS Basic
22602;2000961;37068;RLS Basic
33972;2001263;55495;RLS Basic
52684;2001912;89874;RLS Basic
